Year,Industry Code,Industry Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
2013,311910,Snack food manufacturing,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,3,3,1,1,1
2013,311910,Snack food manufacturing,nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,3,1,4,1
2013,311910,Snack food manufacturing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.009,0.0,0.009,4,3,1,4,1
2013,311920,Coffee and tea manufacturing,carbon dioxide,"kg/2018 USD, purchaser price",0.252,0.099,0.352,3,3,1,4,1
2013,311920,Coffee and tea manufacturing,methane,"kg/2018 USD, purchaser price",0.001,0.001,0.002,4,3,1,1,1
2013,311920,Coffee and tea manufacturing,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,3,1,4,1
2013,311920,Coffee and tea manufacturing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0.0,0.005,3,3,1,3,1
2013,311930,Flavoring syrup and concentrate manufacturing,carbon dioxide,"kg/2018 USD, purchaser price",0.261,0.113,0.374,4,3,1,4,1
2013,311930,Flavoring syrup and concentrate manufacturing,methane,"kg/2018 USD, purchaser price",0.001,0.001,0.002,3,3,1,1,1
2013,311930,Flavoring syrup and concentrate manufacturing,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,3,1,4,1
2013,311930,Flavoring syrup and concentrate manufacturing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,3,3,1,4,1
2013,311940,Seasoning and dressing manufacturing,carbon dioxide,"kg/2018 USD, purchaser price",0.261,0.08,0.342,3,3,1,4,1
2013,311940,Seasoning and dressing manufacturing,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.003,3,3,1,1,1
2013,311940,Seasoning and dressing manufacturing,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,3,1,4,1
2013,311940,Seasoning and dressing manufacturing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.006,0.0,0.006,3,3,1,4,1
2013,311990,All other food manufacturing,carbon dioxide,"kg/2018 USD, purchaser price",0.301,0.076,0.378,3,3,1,4,1
2013,311990,All other food manufacturing,methane,"kg/2018 USD, purchaser price",0.004,0.0,0.004,3,3,1,1,1
2013,311990,All other food manufacturing,nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,3,1,4,1
2013,311990,All other food manufacturing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,4,3,1,4,1
2013,312110,Soft drink and ice manufacturing,carbon dioxide,"kg/2018 USD, purchaser price",0.329,0.08,0.409,3,3,1,3,1
2013,312110,Soft drink and ice manufacturing,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.002,3,3,1,1,1
2013,312110,Soft drink and ice manufacturing,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,3,1,4,1
2013,312110,Soft drink and ice manufacturing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.028,0.0,0.028,3,3,1,3,1
2013,312120,Breweries,carbon dioxide,"kg/2018 USD, purchaser price",0.359,0.049,0.408,3,3,1,4,1
2013,312120,Breweries,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,3,3,1,1,1
2013,312120,Breweries,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,3,1,4,1
2013,312120,Breweries,other GHGs,"kg CO2e/2018 USD, purchaser price",0.012,0.0,0.012,3,3,1,3,1
2013,312130,Wineries,carbon dioxide,"kg/2018 USD, purchaser price",0.225,0.017,0.242,3,3,1,3,1
2013,312130,Wineries,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,3,3,1,1,1
